"token","count"
"the","69968"
"of","36449"
"and","28905"
"to","26232"
"a","23495"
"in","21402"
"that","10786"
"is","10105"
"was","9816"
"he","9800"
"for","9495"
"it","9094"
"with","7280"
"as","7249"
"his","6995"
"on","6760"
"be","6381"
"s","6252"
"i","5943"
"at","5376"
"by","5342"
"this","5145"
"had","5134"
"not","4877"
"are","4393"
"but","4382"
"from","4371"
"or","4213"
"have","3942"
"they","3767"
"an","3746"
"you","3635"
"which","3557"
"one","3504"
"were","3287"
"all","3098"
"her","3036"
"she","2987"
"we","2844"
"there","2844"
"would","2720"
"their","2668"
"him","2619"
"been","2470"
"has","2433"
"when","2333"
"who","2280"
"will","2249"
"more","2224"
"no","2223"
"t","2206"
"can","2199"
"if","2196"
"out","2167"
"so","2032"
"up","1974"
"what","1967"
"said","1962"
"j","1912"
"its","1858"
"about","1816"
"than","1796"
"them","1789"
"into","1789"
"only","1748"
"other","1711"
"time","1693"
"new","1646"
"some","1618"
"could","1602"
"these","1573"
"two","1516"
"may","1398"
"first","1389"
"then","1379"
"do","1375"
"man","1364"
"like","1343"
"any","1338"
"my","1319"
"now","1317"
"over","1307"
"such","1295"
"our","1253"
"me","1185"
"even","1172"
"most","1162"
"made","1135"
"f","1121"
"after","1074"
"also","1069"
"did","1044"
"many","1036"
"before","1015"
"must","1014"
"well","1006"
"back","976"
"through","974"
"years","959"
"where","948"
"much","943"
"your","925"
"way","925"
"down","923"
"state","899"
"should","888"
"because","883"
"long","879"
"each","878"
"just","872"
"people","869"
"how","851"
"those","850"
"world","850"
"mr","845"
"too","842"
"year","834"
"little","834"
"good","831"
"make","804"
"very","796"
"men","788"
"still","785"
"see","775"
"work","774"
"own","773"
"day","771"
"here","761"
"get","752"
"old","747"
"life","736"
"both","731"
"between","730"
"being","720"
"under","717"
"three","704"
"never","699"
"know","692"
"another","689"
"same","686"
"last","684"
"while","681"
"off","675"
"might","672"
"great","671"
"us","671"
"go","633"
"come","632"
"since","628"
"against","628"
"right","626"
"came","622"
"take","619"
"used","612"
"states","606"
"house","603"
"himself","603"
"american","602"
"few","601"
"d","600"
"use","593"
"place","588"
"during","585"
"high","584"
"without","582"
"again","579"
"home","567"
"around","565"
"small","554"
"however","552"
"found","539"
"mrs","536"
"part","528"
"m","521"
"school","517"
"thought","517"
"don","513"
"general","509"
"went","508"
"say","506"
"once","505"
"upon","497"
"war","495"
"left","492"
"every","491"
"got","487"
"does","485"
"united","474"
"number","472"
"hand","470"
"course","465"
"until","462"
"water","461"
"public","460"
"always","459"
"away","459"
"let","454"
"something","451"
"fact","447"
"less","445"
"government","442"
"ll","442"
"though","440"
"put","439"
"far","439"
"night","437"
"head","436"
"set","434"
"enough","433"
"called","433"
"think","433"
"almost","432"
"president","432"
"city","428"
"end","427"
"took","426"
"system","422"
"yet","420"
"four","418"
"better","417"
"nothing","414"
"told","413"
"eyes","408"
"why","405"
"going","404"
"didn","403"
"present","402"
"point","402"
"look","401"
"find","400"
"room","399"
"asked","398"
"group","398"
"second","398"
"next","397"
"later","397"
"social","397"
"business","396"
"knew","395"
"program","393"
"side","393"
"half","392"
"give","391"
"john","390"
"white","390"
"young","388"
"days","387"
"face","386"
"toward","386"
"five","385"
"form","383"
"per","380"
"given","378"
"several","378"
"children","378"
"large","378"
"order","377"
"national","375"
"important","375"
"possible","374"
"rather","373"
"big","371"
"often","369"
"among","369"
"case","369"
"early","368"
"things","368"
"ever","367"
"looked","367"
"god","364"
"best","362"
"need","360"
"become","359"
"church","359"
"within","358"
"felt","357"
"along","355"
"saw","353"
"power","351"
"light","351"
"family","345"
"least","343"
"re","342"
"country","339"
"seemed","333"
"u","333"
"thing","333"
"mind","333"
"open","332"
"development","331"
"area","331"
"interest","330"
"want","328"
"members","327"
"help","326"
"today","326"
"others","325"
"service","324"
"turned","322"
"although","321"
"door","321"
"law","320"
"company","320"
"done","319"
"whole","318"
"line","316"
"problem","315"
"kind","314"
"sense","314"
"certain","313"
"york","313"
"different","313"
"began","312"
"means","311"
"thus","311"
"name","310"
"matter","309"
"perhaps","307"
"week","306"
"itself","305"
"times","305"
"action","302"
"human","302"
"above","301"
"free","293"
"show","292"
"example","292"
"hands","292"
"local","290"
"history","290"
"body","287"
"whether","286"
"death","285"
"gave","285"
"either","285"
"car","285"
"act","284"
"feet","284"
"past","283"
"across","283"
"quite","282"
"taken","281"
"field","281"
"having","280"
"anything","280"
"seen","279"
"word","279"
"c","278"
"money","277"
"experience","276"
"really","275"
"class","274"
"words","274"
"college","273"
"already","273"
"tell","271"
"together","270"
"making","270"
"themselves","270"
"information","269"
"full","269"
"sure","269"
"air","268"
"boy","267"
"held","266"
"known","266"
"period","265"
"political","264"
"shall","264"
"keep","264"
"miss","262"
"real","261"
"probably","261"
"question","259"
"seems","259"
"century","259"
"behind","258"
"office","257"
"mother","257"
"major","255"
"south","254"
"brought","253"
"special","252"
"individual","252"
"child","251"
"whose","251"
"moment","251"
"federal","250"
"self","250"
"b","249"
"cost","248"
"heard","248"
"problems","248"
"six","248"
"woman","248"
"run","247"
"west","247"
"economic","247"
"wife","246"
"became","246"
"study","246"
"board","246"
"ago","246"
"job","245"
"street","245"
"short","245"
"ve","245"
"result","244"
"available","243"
"department","242"
"age","242"
"change","242"
"position","242"
"town","241"
"reason","241"
"society","240"
"turn","240"
"court","239"
"close","239"
"love","239"
"level","237"
"areas","236"
"community","235"
"girl","235"
"party","233"
"force","233"
"true","233"
"control","233"
"am","233"
"hard","231"
"type","231"
"center","231"
"front","231"
"black","230"
"future","229"
"policy","229"
"seem","229"
"clear","228"
"university","227"
"father","227"
"voice","227"
"wanted","226"
"common","225"
"land","224"
"top","223"
"women","223"
"necessary","223"
"surface","223"
"tax","222"
"following","222"
"rate","222"
