"token","count"
"the","62886"
"of","32749"
"and","26012"
"to","23612"
"a","21112"
"in","19329"
"that","9673"
"is","9102"
"he","8820"
"was","8768"
"for","8551"
"it","8194"
"with","6582"
"as","6530"
"his","6261"
"on","6102"
"be","5779"
"s","5631"
"i","5331"
"at","4852"
"by","4829"
"this","4637"
"had","4624"
"not","4420"
"are","3967"
"but","3957"
"from","3935"
"or","3783"
"have","3559"
"they","3383"
"an","3356"
"you","3256"
"which","3231"
"one","3153"
"were","2936"
"all","2785"
"her","2760"
"she","2688"
"we","2560"
"there","2550"
"would","2454"
"their","2402"
"him","2390"
"been","2240"
"has","2181"
"when","2106"
"who","2068"
"will","2021"
"more","1999"
"can","1992"
"if","1988"
"no","1980"
"t","1978"
"out","1946"
"so","1826"
"what","1778"
"up","1777"
"said","1732"
"j","1687"
"its","1671"
"about","1634"
"them","1620"
"than","1615"
"into","1587"
"only","1580"
"other","1542"
"time","1522"
"new","1491"
"some","1449"
"these","1426"
"could","1418"
"two","1378"
"may","1266"
"do","1247"
"then","1240"
"first","1231"
"any","1214"
"like","1211"
"man","1204"
"over","1187"
"my","1178"
"now","1174"
"such","1164"
"our","1132"
"me","1068"
"even","1060"
"most","1046"
"made","1028"
"f","1003"
"after","954"
"also","953"
"many","935"
"did","933"
"must","907"
"well","900"
"before","896"
"through","875"
"years","873"
"back","868"
"where","857"
"much","842"
"your","840"
"down","835"
"way","828"
"state","818"
"should","806"
"each","789"
"because","785"
"people","784"
"just","784"
"long","781"
"world","776"
"mr","771"
"how","769"
"those","768"
"little","754"
"too","749"
"year","745"
"good","739"
"make","726"
"very","723"
"own","720"
"day","709"
"men","703"
"still","696"
"here","691"
"work","688"
"see","682"
"life","676"
"get","674"
"both","673"
"being","669"
"old","668"
"between","667"
"never","641"
"three","641"
"under","631"
"know","626"
"same","620"
"last","617"
"while","616"
"great","611"
"another","608"
"might","607"
"us","604"
"off","598"
"come","576"
"since","572"
"right","570"
"go","568"
"against","565"
"american","562"
"came","561"
"d","555"
"few","554"
"take","553"
"used","550"
"states","548"
"himself","545"
"house","544"
"place","535"
"during","534"
"use","529"
"without","523"
"high","518"
"again","517"
"home","513"
"around","505"
"however","497"
"mrs","495"
"small","494"
"found","483"
"thought","469"
"part","467"
"went","464"
"school","463"
"don","459"
"m","459"
"general","458"
"once","456"
"say","454"
"upon","451"
"got","445"
"war","439"
"every","438"
"does","438"
"left","436"
"united","427"
"number","420"
"hand","417"
"away","415"
"until","413"
"course","411"
"water","410"
"put","410"
"something","409"
"always","408"
"government","408"
"let","407"
"less","404"
"ll","404"
"public","403"
"think","403"
"night","401"
"set","399"
"though","397"
"called","394"
"fact","394"
"almost","393"
"head","392"
"far","391"
"yet","388"
"enough","388"
"took","386"
"president","384"
"end","382"
"system","379"
"nothing","378"
"better","377"
"city","377"
"told","375"
"eyes","375"
"four","374"
"going","371"
"why","369"
"knew","364"
"group","364"
"look","364"
"didn","361"
"social","360"
"business","360"
"present","359"
"point","359"
"second","358"
"side","358"
"room","358"
"find","358"
"white","357"
"next","356"
"give","356"
"toward","356"
"half","352"
"later","352"
"program","352"
"asked","350"
"john","349"
"form","348"
"children","348"
"face","348"
"days","348"
"five","347"
"several","346"
"young","344"
"order","343"
"large","342"
"per","342"
"often","340"
"big","340"
"given","339"
"rather","335"
"national","332"
"need","332"
"important","332"
"things","331"
"god","329"
"ever","328"
"early","328"
"church","325"
"looked","325"
"possible","324"
"among","323"
"become","323"
"felt","323"
"within","322"
"best","322"
"least","321"
"light","317"
"case","316"
"along","314"
"power","312"
"family","311"
"seemed","310"
"saw","307"
"thing","307"
"country","307"
"open","305"
"mind","304"
"re","302"
"today","302"
"u","301"
"development","300"
"area","300"
"members","299"
"although","298"
"done","296"
"company","295"
"want","295"
"door","294"
"law","292"
"others","292"
"different","292"
"service","292"
"interest","291"
"help","290"
"began","289"
"line","288"
"problem","286"
"means","286"
"name","285"
"turned","285"
"whole","284"
"times","284"
"week","283"
"thus","283"
"sense","282"
"itself","282"
"york","281"
"matter","280"
"certain","280"
"kind","275"
"human","274"
"action","273"
"above","272"
"history","271"
"perhaps","270"
"free","269"
"show","267"
"whether","263"
"body","261"
"either","258"
"local","258"
"death","258"
"example","258"
"gave","257"
"quite","256"
"taken","256"
"hands","254"
"c","253"
"themselves","253"
"past","253"
"feet","252"
"field","251"
"class","251"
"act","251"
"across","250"
"words","250"
"money","250"
"having","250"
"already","249"
"tell","249"
"information","247"
"seen","247"
"really","246"
"word","245"
"known","245"
"making","244"
"anything","244"
"college","244"
"car","244"
"full","243"
"miss","243"
"together","243"
"experience","241"
"sure","241"
"held","240"
"boy","239"
"political","238"
"seems","238"
"period","237"
"real","237"
"mother","236"
"shall","236"
"keep","232"
"probably","231"
"air","230"
"question","230"
"whose","229"
"south","229"
"behind","227"
"b","227"
"woman","226"
"century","226"
"major","226"
"economic","226"
"cost","226"
"office","225"
"moment","225"
"run","225"
"special","224"
"west","224"
"department","223"
"federal","223"
"society","223"
"problems","223"
"board","222"
"six","222"
"brought","222"
"child","222"
"result","222"
"position","222"
"self","221"
"job","221"
"love","221"
"ve","220"
"study","220"
"am","219"
"court","219"
"available","219"
"short","219"
"heard","218"
"street","218"
"change","218"
"wife","218"
"ago","218"
"girl","217"
"age","217"
"became","217"
"force","216"
"control","215"
"individual","215"
"close","215"
"hard","214"
"reason","214"
"areas","213"
"turn","212"
"community","212"
"party","211"
"women","211"
"black","211"
"seem","211"
"town","210"
"true","210"
"type","210"
"tax","210"
"level","210"
"clear","210"
"common","208"
"voice","207"
"policy","206"
"future","205"
"center","204"
"front","203"
"sometimes","202"
"surface","202"
"further","201"
"land","201"
"father","201"
"third","201"
"top","200"
"rate","200"
"military","200"
"art","199"
"university","199"
"feel","198"
"washington","197"
"music","197"
"provide","197"
"necessary","195"
"near","195"
"stood","194"
"wanted","194"
"red","194"
"education","194"
"e","194"
"o","194"
"able","193"
"total","193"
"north","192"
"following","192"
"road","192"
"morning","191"
"effect","191"
"low","190"
"secretary","189"
"book","188"
"figure","188"
"living","187"
"process","187"
"leave","187"
"outside","187"
"america","187"
"plan","187"
"students","187"
"therefore","186"
"looking","184"
"fire","184"
"usually","184"
"table","184"
"million","183"
"cut","183"
"range","183"
"mean","182"
"soon","182"
"nor","182"
"dr","182"
"east","181"
"section","181"
"pressure","180"
"english","180"
"strong","180"
"play","180"
"sound","179"
"lines","178"
"brown","178"
"increase","178"
"dark","178"
"believe","177"
"idea","177"
"alone","177"
"evidence","177"
"gone","177"
"greater","177"
"modern","177"
"various","176"
"single","176"
"kept","176"
"value","176"
"private","175"
"months","174"
"values","174"
"minutes","174"
"schools","174"
"says","174"
"nation","172"
"personal","172"
"p","172"
"ground","172"
"space","172"
"peace","172"
"else","171"
"everything","171"
"conditions","171"
"longer","170"
"started","170"
"stage","170"
"expected","169"
"union","169"
"view","169"
"nature","169"
"situation","168"
"hundred","167"
"industry","167"
"material","166"
"return","166"
"ten","166"
"needed","166"
"spirit","166"
"son","165"
"support","165"
"person","165"
"late","165"
"hope","165"
"lost","164"
"middle","164"
"finally","164"
"taking","164"
"call","164"
"attention","163"
"hour","163"
"move","163"
"wrote","162"
"nations","162"
"hours","162"
"except","162"
"moved","162"
"data","162"
"cold","161"
"required","161"
"coming","161"
"forces","161"
"wall","161"
"particular","161"
"complete","161"
"amount","160"
"basis","160"
"dead","160"
"heart","159"
"won","159"
"miles","159"
"couldn","158"
"pay","158"
"fine","158"
"followed","157"
"live","157"
"recent","157"
"read","157"
"feeling","157"
"including","157"
"defense","157"
"island","156"
"costs","156"
"inside","156"
"river","155"
"th","155"
"st","155"
"developed","155"
"reached","155"
"story","155"
"research","155"
"committee","155"
"beyond","155"
"basic","155"
"earth","155"
"simply","155"
"makes","154"
"kennedy","154"
"doing","153"
"twenty","153"
"instead","153"
"building","153"
"equipment","151"
"meeting","151"
"religious","151"
"terms","150"
"central","150"
"paper","150"
"sort","150"
"medical","150"
"hall","149"
"administration","149"
"wide","149"
"trying","148"
"tried","148"
"cent","148"
"care","148"
"floor","147"
"n","147"
"added","147"
"rest","146"
"picture","146"
"difficult","146"
"higher","146"
"friends","146"
"shown","145"
"actually","145"
"club","145"
"labor","145"
"international","145"
"subject","145"
"suddenly","145"
"england","145"
"hold","144"
"similar","144"
"talk","144"
"wasn","144"
"simple","144"
"purpose","143"
"report","143"
"working","143"
"ready","143"
"bring","142"
"written","142"
"received","142"
"beginning","142"
"congress","141"
"entire","141"
"growth","141"
"training","141"
"foreign","141"
"blue","141"
"happened","141"
"market","140"
"hair","140"
"food","140"
"non","140"
"answer","140"
"considered","139"
"especially","139"
"passed","139"
"william","139"
"property","138"
"county","138"
"police","138"
"sent","138"
"month","138"
"natural","137"
"final","137"
"issue","137"
"hear","137"
"sat","136"
"needs","136"
"stock","136"
